company name,contact number,area,product category 1,product category 2,product category 3,company description
Al-Shahin Import & Distribution,"+20 2 27789282, 012-22192998, 010-5510466",المطريه.القاهره,Tea,Food,Coffee and coffee substitutes...,Coffee and coffee substitutes...Importing & Distributing of all kind of food stuff products[Juices]. CAPITAL PAID:- 100000 EGP TOTAL ASSETS:- 18950000 EGP COMM.REGISTRY NO.:- 362211 Cairo TAX CARD NO.:- 305-310-542 Legal form: Individual Ent. Legal Sector:Private
El-Hadeel for Agricultural Products Export,"+20 2 25647177, 02-23937101","وسط البلد, القاهره",Agriculture and forestry,Berries,"Fruit, tropical and subtropical...","Fruit, tropical and subtropical...Importing & exporting of fresh fruits. Legal form: Joint Stock Legal Sector:Private"
Rgab Sons for Trading & Imports,"+20 2 26712179, 02-26712180, 02-26712181, 02-26712182, 011-16552853",مدينه نصر.القاهره,Department and chain stores,"General traders, department and retail stores",Supermarket and hypermarket operators,"Supermarket and hypermarket operatorsSuper market chain, specializing in middle income segment. Importing of foodstuffs. It has 26 branches. CAPITAL PAID:- 291596 EGP CAPITAL ISSUED:- 291596 EGP CAPITAL AUTHORIZED:- 10000000 EGP Legal form: Joint Stock Legal Sector:Private"
MAF for Installation & Management of Hypermarket,"+20 2 25204300, 02-25204301, 02-25204302, 02-25204303, 02-25204304, 02-25204305, 02-25204306, 02-25204307, 02-25204308, 02-25204309, 02-25204310, 02-25204311, 02-25204312, 02-25204313, 02-25204330, 02-25204319, 012-7495669",المعادى.القاهره,Department and chain stores,"General traders, department and retail stores",Supermarket and hypermarket operators,Supermarket and hypermarket operators
A.G Collection,+20 2 26904222,مصر الجديده.القاهره,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton...Jewelery & clothes retail chains. Importer of jewelery[Maltoro]. Commercial agents of ready-made garments for ladies. Legal form: Individual Ent. Legal Sector:Private"
MM for Trading & Distribution,+20 2 25924414 6 Lines,الازهر.القاهره,"Leathers, furs and their products","Fancy goods, leather","Travel goods, handbags and similar articles, leather...","Travel goods, handbags and similar articles, leather..."
"Elite Group Corp., EGC","+20 2 26215562, 02-26231730","مصر الجديده,القاهره","Hospitality, tourism, hotel and catering industries",Restaurants and bars,Catering chains...,Catering chains...Specialized in operating a chain cloth retails stores& catering chains. COMM.REGISTRY NO.:- 43352 Legal form: Joint Stock Legal Sector:Private
Borg Import & Export,"+20 2 25753212, 02-25777575",وسط البلد.القاهره,Means of transport,Motor vehicle transmission parts and spare parts,"Gearboxes, manually operated, motor vehicle...","Gearboxes, manually operated, motor vehicle...Importer & distributor of car's spare parts. CAPITAL PAID:- 120000 EGP COMM.REGISTRY NO.:- 254673 TAX CARD NO.:- 151 Legal form: Ltd. Partnership Legal Sector:Private"
Modern Agriculture Establishment-Hammam Ismail Abu Shady,"+20 2 23938874, 012-6931182",وسط البلد.القاهره,Agricultural and forestry machinery and equipment,Agricultural tractors,Agricultural power cultivators...,Agricultural power cultivators...Agrifood equipment manufacturer specialized in imports of grass cutting machinery & gardening supplies.
Int'l Trade & Distribution Office,"+20 2 22870474, 02-22747155",مدينه نصر.القاهره,Furniture and linen,Office filing and storage furniture,"Filing systems, suspension...","Filing systems, suspension..."
Abu El-Dahab,"+20 2 22049621, 019-7776373",وسط البلد.القاهره,"Leathers, furs and their products","Saddlery, belts and straps, leather","Leather upholstery, motor vehicle...","Leather upholstery, motor vehicle...Importer & distributor of automotive spare parts. Legal form: Individual Ent. Legal Sector:Private"
Int'l Data System,"+20 2 22903501 10 Lines, 02-22903502, 010-1119982",مصر الجديده.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, laptops...","Computers, laptops...Agent for lap tops & printers. Importer of bar code for printers. CAPITAL PAID:- 5099600 EGP CAPITAL ISSUED:- 5099600 EGP CAPITAL AUTHORIZED:- 50000000 EGP COMM.REGISTRY NO.:- 23548 Cairo Legal form: Joint Stock Legal Sector:Private"
Global Trading & Distributing,"+20 2 27945432, 02-27949575",وسط البلد.القاهره,Means of transport,Motor vehicle control instruments and panels,Motor vehicle accessories...,Motor vehicle accessories...Importer & distributor of motor vehicles spare parts. CAPITAL PAID:- 1065000 EGP CAPITAL ISSUED:- 3000000 EGP CAPITAL AUTHORIZED:- 30000000 EGP COMM.REGISTRY NO.:- 7019 TAX CARD NO.:- 200-215-809 Legal form: Joint Stock Legal Sector:Private
Asma Technology for Import & Marketing,"+20 2 24047142, 02-24055263, 02-24018811, 02-24055261, 02-24055262, 02-24050732, 02-24050731, 02-22622471, 02-22611101, 10 Lines, 012-2218344, 012-1799374",مدينه نصر.القاهره,Telephones,"Telephones, mobile (cellular phones)",Electronic equipment. Telecommunications equipment...,"Electronic equipment. Telecommunications equipment...Agent, importer & distributor of computers & their devices. CAPITAL PAID:- 5000000 EGP CAPITAL ISSUED:- 5000000 EGP CAPITAL AUTHORIZED:- 5000000 EGP COMM.REGISTRY NO.:- 8754 Cairo Legal form: Joint Stock Legal Sector:Private Law 159"
El-Alamia Import & Trade,"+20 2 22067020, 02-22061117",شبرا.القاهره,Means of transport,Motor vehicle control instruments and panels,Motor vehicle accessories...,Motor vehicle accessories...Importer & distributor of heavy motor vehicles spare parts. CAPITAL PAID:- 10000 EGP COMM.REGISTRY NO.:- 200751 IMP.REGISTRY NO.:- 9772 TAX CARD NO.:- 2590 Legal form: Individual Ent. Legal Sector:Private
Master Tech Agricultural Requisties,"+20 2 24110361, 012-1004666, 010-5108687",مدينه نصر.القاهره,Agricultural and forestry machinery and equipment,Agricultural and horticultural tools,Garden tool kits and accessories...,"Garden tool kits and accessories...Importer, exporter & commercial agents for equipment for gardens, green areas & Golf playgrounds. Legal form: Ltd. Partnership Legal Sector:Private"
Multi Vision-El-Samman Group,"+20 10 1356000, 019-2020799",مدينه نصر.القاهره,Department and chain stores,"General traders, department and retail stores",Chain stores...,"Chain stores...Importing & trading of computers, laptops & their components. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 388147 TAX CARD NO.:- 300-891-806 Legal form: Ltd. Partnership Legal Sector:Private"
Smash Trading,"+20 2 22670467, 02-22670779",مصر الجديده.القاهره,Department and chain stores,"General traders, department and retail stores",Chain stores...,"Chain stores...Importer of sport shoes, bags & tools. CAPITAL PAID:- 3000000 EGP CAPITAL ISSUED:- 3000000 EGP CAPITAL AUTHORIZED:- 30000000 EGP COMM.REGISTRY NO.:- 50717 TAX CARD NO.:- 317-986-796 Legal form: Joint Stock Legal Sector:Private"
"NGC for Import & Export, NGC",+20 2 46652911,ط.قاهره/اسماعيليه.القاهره,Food,"Fish, canned, bottled and otherwise packaged","Shellfish and seaweed, canned and bottled...","Shellfish and seaweed, canned and bottled..."
El-Yabaniyah for Import & Export,+20 16 6687080,مدينه نصر.القاهره,Equipment for telephone networks,Electronic equipment. Telecommunications equipment,Facsimile (fax) machines...,Facsimile (fax) machines...Importer & supplier of stationery & copiers requisites CAPITAL PAID:- 30000 EGP Legal form: Individual Ent. Legal Sector:Private
First Gas,"+20 2 22587828, 02-22587827",مصر الجديده.القاهره,"Metal pipework, valves and containers","Pipeline fittings, stainless steel","Pipe, tube and hose fittings, metal...","Pipe, tube and hose fittings, metal...Manufacturing & maintenance of gas cylinders. CAPITAL PAID:- 25000000 EGP CAPITAL ISSUED:- 25000000 EGP CAPITAL AUTHORIZED:- 25000000 EGP COMM.REGISTRY NO.:- 4398 Cairo Legal form: Joint Stock Legal Sector:Private"
Mega Light,"+20 2 22600711, 010-6088490",مدينه نصر.القاهره,"Electric lighting equipment, indoor",Electrical equipment. Nuclear equipment,"Electric lighting equipment, indoor, by type...","Electric lighting equipment, indoor, by type...Importer of lamps, spot lights & requisites [sockets & electric keys]. Legal form: Individual Ent. Legal Sector:Private"
Evolution Systems,"+20 2 22590302, 02-24523234, 02-24524340, 012-1000912",مصر الجديده.القاهره,Simultaneous interpreting equipment,Electronic equipment. Telecommunications equipment,"Audio-visual (AV) systems, interactive...","Audio-visual (AV) systems, interactive...Commercial agents in Viga, Rams, MP3 players &distributor of [hard disk, keyboard, mouse, printer, case, mike, speaker & sound card]. Legal form: Individual Ent. Legal Sector:Private"
Al-Shark Healthcare,"+20 2 26874073, 010-64206657",مصر الجديده.القاهره,Wholesale trade,"General traders, department and retail stores","Hospital, medical, dentistry and veterinary equipment (wholesale)","Hospital, medical, dentistry and veterinary equipment (wholesale)Importer & distributor of medical equipment[Dialysis]. CAPITAL PAID:- 20000 EGP TOTAL ASSETS:- 131978 EGP COMM.REGISTRY NO.:- 37508 TAX CARD NO.:- 310-783-798 Legal form: Ltd. Liability Legal Sector:Private"
City Print,"+20 2 23902017, 011-20048768","عابدين,القاهره",Information technology (IT) and Internet,Printers (computing),Wholesale trade...,Wholesale trade...Trading & distributing of inks. Legal form: Individual Ent. Legal Sector:Private
El-Masa for Supplying,+20 2 25896928,"وسط البلد, القاهره",Clothing and footwear,Underwear and nightwear for women,,"Importing, trading & supplying of seamless pipes, valves & fittings from stainless steel & iron. CAPITAL PAID:- 10000000 EGP"
Archi Caza for Furniture & Projects,"+20 2 22597003, 02-22597004",مصر الجديده.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden..."
