,,United Arab Emiratess exports to Egypt,,,Egypt's imports from world,,,,United Arab Emiratess exports to world,,,
Product code,Product label,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022
TOTAL,All products,3847549,5880263,,,60279554,73781229,79712146,,335296908,425159797,311313710
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",33,19,,,481,508,838,,1500,2309,281
790120,Unwrought zinc alloys,0,0,,,16290,7843,17578,,513,328,657
790200,"Zinc waste and scrap (excl. ash and residues from zinc production ""heading 2620"", ingots and ...",0,0,,,0,0,0,,6769,9385,19826
800200,"Tin waste and scrap (excl. ash and residues from the manufacture of tin of heading 2620, and ...",0,0,,,,,,,180,636,964
810210,Molybdenum powders,0,0,,,,,,,1,0,
810600,"Bismuth and articles thereof, n.e.s.; bismuth waste and scrap (excluding ash and residues containing ...",0,0,,,1,3,0,,0,0,
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",775,1387,,,40298,40592,56021,,50066,55732,23517
841920,"Medical, surgical or laboratory sterilizers",35,59,,,8659,14328,13701,,11308,6929,1222
842010,Calendering or other rolling machines (other than for metals or glass),0,0,,,2452,1527,2136,,300,327,145
842119,"Centrifuges, incl. centrifugal dryers (excl. isotope separators, cream separators and clothes ...",27,128,,,2719,4826,2700,,5030,6847,1301
842132,"Catalytic converters or particulate filters, whether or not combined, for purifying or filtering ...",0,0,,,,,,,0,0,848
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,0,38,,,1516,2438,1729,,387,1037,79
842390,"Weighing machine weights of all kinds; parts of weighing machinery, n.e.s.",99,22,,,1482,1535,1439,,3650,2013,298
842511,"Pulley tackle and hoists, powered by electric motor (other than skip hoists or hoists of a ...",18,39,,,5613,5994,8071,,1509,4574,531
842542,"Jacks and hoists, hydraulic (excl. built-in jacking systems used in garages)",278,289,,,8286,7717,8218,,10261,21184,2862
842611,Overhead travelling cranes on fixed support,0,306,,,407,17336,6088,,3929,10364,922
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",162,409,,,36589,27742,21155,,26548,34944,3399
842920,Self-propelled graders and levellers,625,1519,,,13810,28741,33245,,22986,31265,5534
843020,"Snowploughs and snowblowers (excl. those mounted on railway wagons, motor vehicle chassis or ...",0,0,,,0,33,0,,31,59,
843050,"Self-propelled earth-moving machinery, n.e.s.",0,33,,,899,10893,11267,,1523,1789,330
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",7103,8573,,,7770,24230,43014,,644822,713695,113776
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",1,82,,,2086,1350,1490,,441,543,88
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",40,53,,,2736,2605,1570,,1198,5404,186
843629,"Poultry-keeping machinery (excl. machines for sorting or grading eggs, poultry pickers of heading ...",1,0,,,11421,11725,21085,,402,111,1343
843820,"Machinery for the industrial preparation or manufacture of confectionery, cocoa or chocolate ...",22,71,,,10041,7816,5079,,1155,1422,532
843830,"Machinery for sugar manufacture (excl. centrifuges and filtering, heating or refrigerating ...",0,0,,,21483,6202,867,,146,92,1030
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",2135,34,,,7167,11187,10056,,4970,4171,3083
843920,"Machinery for making paper or paperboard (excl. dryers and other heating appliances, calenders ...",0,0,,,3337,3362,1548,,58,600,222
844130,"Machines for making cartons, boxes, cases, tubes, drums or similar containers (other than by ...",2,0,,,18412,12321,4641,,290,678,127
844312,"Offset printing machinery, sheet fed [office type], using sheets of a side <= 22 x 36 cm in ...",0,0,,,173,346,57,,96,378,120
844314,"Letterpress printing machinery, reel fed (excl. flexographic printing machinery)",0,0,,,201,215,408,,185,70,56
844316,Flexographic printing machinery,0,0,,,5386,8455,11248,,482,1356,1
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",29,21,,,2538,1676,1988,,6218,7382,3810
844513,Drawing or roving machines,0,0,,,168,1449,1787,,0,158,496
844610,Weaving machines for weaving fabrics of a width <= 30 cm,0,0,,,163,387,345,,163,672,4
844811,"Doobies and jacquards; card reducing, copying, punching or assembling machines for use therewith",0,0,,,2012,2590,554,,2,23,
480511,"Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm",0,4,,,10833,10175,13525,,12824,4694,5842
480591,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,0,,,9047,5748,6339,,398,60,1927
480630,"Tracing papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side ...",0,0,,,73,92,378,,119,138,15
480920,"Self-copy paper, whether or not printed, in rolls of a width > 36 cm or in square or rectangular ...",0,0,,,3220,1547,969,,4960,5454,340
481032,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically ...",0,0,,,44,131,2888,,1058,2223,11
481151,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",375,1097,,,131053,126755,151421,,3115,7853,8102
481200,"Filter blocks, slabs and plates, of paper pulp",1,1,,,164,300,302,,434,492,35
