Product Code,Product Label,"UAE export to egypt Value in 2022, USD thousands","annual growth uae export to egypt in value between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Quantity Uae exported to egypt in 2022 ,Unit value (USD/unit) ,"egypt import from world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","egypt Share in world imports, % ",Quantity exported from egypt to world  in 2022 ,Unit value (USD/unit) ,"uae export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity UAE exported to world in 2022 ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , , , ,864, ,0,0, ,"3,300",-12,0,0, ,
10129,Live horses (excl. pure-bred for breeding), , , , , ,64, ,0,2,"32,000",878,-35,0,0, ,
10190,Live mules and hinnies, , ,0, , ,61,41,1,0, , , , ,4,"21,500",
10221,Pure-bred cattle for breeding, , ,0, , ,"31,282",-3,3,"8,979","3,484", , , ,13,"13,538",
10229,Live cattle (excl. pure-bred for breeding),"5,023", ,90,"1,526","3,292","294,335", ,4,"89,438","3,291","5,602", ,0,0, ,
10290,Live bovine animals (excl. cattle and buffalo), , ,0, , ,"199,989",15,34,"58,134","3,440", , , ,12,"1,250",
10410,Live sheep, , , , , ,"6,568", ,1,"1,787","3,675",339, ,0,0, ,1
10420,Live goats, , ,0, , ,157, ,0,0, , , , ,0, ,
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , , , , ,"17,719",-6,1,0, ,16,-25,0,20,"53,000",80
10512,"Live domestic turkeys, weighing <= 185 g", , ,0, , ,"1,584",-7,1,"770,124",2, , , , , ,
10513,"Live domestic ducks, weighing <= 185 g", , ,0, , ,662,-37,4,0, , , , ,0, ,
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , , , ,"1,914", ,0,"1,967",973,28,-28,0,0, ,
10599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g", , ,0, , ,0, ,0, , , , , ,0, ,
10611,Live primates, , ,0, , ,15,-13,0,0, , , , ,0, ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , , , ,113, ,2,0, ,1, ,0, , ,
10613,Live camels and other camelids [Camelidae], , , , , ,"124,922",137,77,0, ,"12,287",345,8,0, ,
10614,Live rabbits and hares, , , , , ,9, ,0,0, ,1,78,0,0, ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , , , , ,17,79,0,9,"1,889",259,1,0,0, ,
