Product Code,Product Label,"UAE export to india Value in 2022, USD thousands","nnual growth in value uae export to india between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to india in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"india import from world Value in 2022, USD thousand ","Annual growth in value of india import from world between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from india to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE texport to world Value in 2022, USD thousand ","Annual growthof uae export to world in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , ,30, , , ,9,"1,992", ,0,45,Tons,"44,267","3,300",-12,0,0,Tons, ,
10129,Live horses (excl. pure-bred for breeding), , , ,30, , , ,24,"1,230",-18,0,47,Tons,"26,170",878,-35,0,0,Tons, ,
10229,Live cattle (excl. pure-bred for breeding), , , , , , , ,,0, ,0, , , ,"5,602", ,0,0, , ,
10391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)", , ,0,30, , , ,9,325,205,0,148, ,"2,196", , , ,0, , ,
10410,Live sheep, , , ,30, , , ,20,0, ,0, ,Tons, ,339, ,0,0,Tons, ,
10420,Live goats, , ,0,30, , , ,10,0, ,0, ,Units, , , , ,0,Units, ,
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , , ,30, , , ,5,"3,552",0,0,"57,191",Tons,62,16,-25,0,20,Tons,"53,000",3
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , ,30, , , ,5,0, ,0, ,Tons, ,28,-28,0,0,Tons, ,
10611,Live primates, , ,0,30, , , ,9,2, ,0,0, , , , , ,0, , ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , , , , , ,,0, ,0, , , ,1, ,0, , , ,
10613,Live camels and other camelids [Camelidae], , , , , , , ,,0, ,0, , , ,"12,287",345,8,0, , ,
10614,Live rabbits and hares, , , , , , , ,,0, ,0, , , ,1,78,0,0, , ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , , ,30, , , ,9,"2,165",7,1,"49,523",Tons,44,259,1,0,0,Tons, ,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""", , , , , , , ,,0, ,0, , , ,19,163,0,0, , ,
10631,Live birds of prey, , , , , , , ,,0, ,0, , , ,609,11,2,0, , ,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""", , , , , , , ,,0, ,0, , , ,206,139,1,0, , ,
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .", , , ,30, , , ,8,269, ,1,724, ,372,437,-28,1,0, , ,
10649,Live insects (excl. bees), , ,0,30, , , ,32,4,-41,0,574, ,7, , , ,0, , ,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .",3,18,25,30,8,Tons,375,8,"1,306",5,1,"11,380",Tons,115,12,-25,0,0,Tons, ,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled", , , ,30, , , ,54,0, ,0, ,Tons, ,17,0,0,"38,415",Tons,"4,511",
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)", , , ,30, , , ,58,0, ,0, ,Tons, ,34,-39,0,"2,290",Tons,"9,909",
20130,"Fresh or chilled bovine meat, boneless", , , ,30, , , ,59,0, ,0, ,Tons, ,242,-25,0,"29,140",Tons,"8,822",
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)", , , ,30, , , ,58,0, ,0, ,Tons, ,38,-39,0,"2,042",Tons,"7,135",
20230,"Frozen, boneless meat of bovine animals", , , ,30, , , ,59,0, ,0, ,Tons, ,"3,944",3,0,"101,593",Tons,"3,858",
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in", , , ,30, , , ,48,0, ,0, ,Tons, ,1, ,0,22,Tons,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .", , , ,30, , , ,48,455,7,0,50, ,"9,100",9, ,0,188, ,"7,277",
20321,Frozen carcases and half-carcases of swine, , ,0,30, , , ,44,200,11,0,69,Tons,"2,899", , , ,90,Tons,"3,267",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in", , , ,30, , , ,48,609,24,0,147,Tons,"4,143",21,-17,0,"1,731",Tons,"1,776",-
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .", , , ,30, , , ,48,"1,933",3,0,430, ,"4,495",114,-40,0,"13,507", ,"2,512",-
20410,Fresh or chilled lamb carcases and half-carcases, , ,0,30, , , ,53,0, ,0, ,Tons, , , , ,"13,817",Tons,"6,571",
20421,Fresh or chilled sheep carcases and half-carcases (excl. lambs), , ,0,30, , , ,53,0, ,0, ,Tons, , , , ,"8,771",Tons,"6,960",
20430,Frozen lamb carcases and half-carcases, , ,0,30, , , ,53,33,-15,0,8,Tons,"4,125", , , ,"2,057",Tons,"5,785",
20441,Frozen sheep carcases and half-carcases (excl. lambs), , ,0,30, , , ,53,0, ,0, ,Tons, , , , ,985,Tons,"4,470",
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,30, , , ,57,"1,174",-13,0,96,Tons,"12,229",30,-45,0,"6,131",Tons,"6,259",1
20443,Frozen boneless cuts of sheep, , , ,30, , , ,57,165,-33,0,25,Tons,"6,600",17,-52,0,"2,493",Tons,"8,081",-
20610,Fresh or chilled edible offal of bovine animals, , , ,30, , , ,49,0, ,0, ,Tons, ,87, ,0,134,Tons,"4,500",
20622,Frozen edible bovine livers, , , ,30, , , ,49,0, ,0, ,Tons, ,96,26,0,"1,767",Tons,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers), , , ,30, , , ,49,0, ,0, ,Tons, ,"3,829", ,0,"3,983",Tons,"1,993",
20649,"Edible offal of swine, frozen (excl. livers)", , , , , , , ,,0, ,0, , , ,338, ,0,"2,768", ,"1,238",
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces", , , ,30, , , ,45,57,116,0,28,Tons,"2,036",176,-18,0,"277,686",Tons,"1,869",-
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus, , , ,100, , , ,45,0, ,0, ,Tons, ,"5,052",-7,0,"265,336",Tons,"2,103",1
20725,"Frozen turkeys of the species domesticus, not cut into pieces",69, ,76,30,10, ,"6,900",45,181,12,0,32, ,"5,656",91,-6,0,391, ,"2,703",-
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus, , , , , , , ,,0, ,0, , , ,6, ,0,47, ,"4,468",
20727,Frozen cuts and edible offal of turkeys of the species domesticus, , , ,30, , , ,45,22,22,0,4, ,"5,500",261,-6,0,"2,351", ,"2,595",-
20742,"Frozen domestic ducks, not cut in pieces", , , ,30, , , ,45,439,0,0,114, ,"3,851",3,-60,0,"1,140", ,"2,847",
20745,Frozen cuts and edible offal of domestic ducks, , , ,30, , , ,45,71,-20,0,7, ,"10,143",11,-42,0,292, ,"4,688",
20753,"Fatty livers of domestic geese, fresh or chilled", , , , , , , ,,0, ,0, , , ,1, ,0, , , ,
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .", , , , , , , ,,0, ,0, , , ,92,15,0,41, ,"12,902",
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked", , , , , , , ,,0, ,0, , , ,8, ,0,289, ,"4,920",
21020,"Meat of bovine animals, salted, in brine, dried or smoked", , , , , , , ,,0, ,0, , , ,"8,338",205,3,158, ,"12,500",
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , , ,30, , , ,53,0, ,0, ,Tons, ,117,-15,0,388,Tons,"2,804",
30111,Live ornamental freshwater fish, , , ,30, , , ,13,564,13,0,20,Tons,"28,200",15, ,0,0,Tons, ,
30119,Live ornamental fish (excl. freshwater), , , ,30, , , ,13,"1,102",44,2,74,Tons,"14,892",2,-42,0,0,Tons, ,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,30, , , ,51,16,-67,0,1,Tons,"16,000",9, ,0,0,Tons, ,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , ,30, , , ,44,5,-2,0,0,Tons, ,2,94,0,163,Tons,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .", , , , , , , ,,0, ,0, , , ,15,-25,0,1, ,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , ,30, , , ,44,"2,625",1,0,230, ,"11,413",51,8,0,"7,261", ,"8,951",
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,30, , , ,44,0, ,0, ,Tons, ,200,2,0,159,Tons,"4,686",
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .", , , , , , , ,,0, ,0, , , ,4,26,0,2, ,"20,500",
30223,"Fresh or chilled sole ""Solea spp.""", , ,0,30, , , ,44,0, ,0, ,Tons, , , , ,28,Tons,"18,036",
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , ,0,30, , , ,44,0, ,0, ,Tons, , , , ,98,Tons,"7,102",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""", , , , , , , ,,0, ,0, , , ,2,-21,0,2, ,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""", , , ,30, , , ,44,0, ,0, ,Tons, ,2,-50,0,159,Tons,"5,176",
