company name,contact number,area,company description
شركة اللبنة للإستشارات الهندسية,218 21-3622852,V5RW+6FF,Architect
شركة حسن عبيدة و شركاؤه للاعمال الهندسية و ادارة المشروعات,218 92-7966272,,Architecture firm
Modern International Company for trucks and spare parts,218 51-2623814,84Q3+P9R,Auto parts store
Zarrugh Showroom,218 21-3401911,Al Jraba St,Bathroom remodeler
النعمي للمواد الصحية,218 91-0000000,W63X+G29,Bathroom supply store
Libya Baitna for Importing Building Materials,218 91-2115957,"9435+JFM، مصراتة‎،",Building materials store
Biout aleaz,218 91-2173037,,Building materials supplier
Al-Madina International Company for importing hardware,218 91-2146902,,Business center
الوسيط لاستيراد السيارت,218 91-0601133,449R+HFF,Car dealer
شركة خيبر لاستيراد وسائل النقل Khaibar Company for importing Transportation,218 91-2142227,"R2J9+QM6, The Coastal Rd",Car dealer
العقارية للسيراميك والمواد الصحية,218 91-9895212,R29M+CP9,Ceramics wholesaler
Alraae معرض الراعى للسراميك,218 92-0021500,V6VV+W23,Ceramics wholesaler
Electron International for Importing Digital Systems and Information Technology LTD,218 92-5435887,Jaraba St,Computer consultant
MAPEI,218 91-8567686,11 June Street,Concrete contractor
شركة المحيط الرائدة,218 91-8015511,"V473+4XR، طرابلس،",Construction company
Houses Ezz Import Company Building Materials,218 91-2130730,,Corporate office
Alkema Albahra Company For Importing Building Materials,218 91-2135688,84W3+CF4,Corporate office
BERNIQ For The Importation of Industrial Machinery & Equipment,218 91-3261169,35XX+8W6,Corporate office
Adwaa Acacus for Food Import,,,Corporate office
ALTHEQAH FOR IMPORT FOOD SUPPLEMENT,,"AL ZYTUNA Aria, ANTAKIA Str. PO Box: 13060",Corporate office
شركة الجوهرة اللامعة,218 91-2122588,"83P8+JH7, Airport Road،",Cosmetics wholesaler
Saraha Technologies - الصراحة للتكنولوجيا,218 91-1452000,Al Nasr St,Electronics store
Greenland Medical Supplies,218 91-0266665,,Equipment importer
المثالية لاستيراد المعدات الالكترونية و الكهربائية,218 91-0334167,"شارع البلدية، خلف شركة الكهرباء، الظهرة",Equipment importer
Alrasana Co.الرصانة للألات الثقيلة,218 91-3685141,,Equipment importer
Alfa Healthcare شركة ألفا,,Tariq Al' Arubah Al U'rouba Hwy,Equipment importer
السوق الاوروبي للجديد و المستعمل فرع الكريميا,,"طريق غريان،الكريميا قرب شارع اصانب،",Equipment importer
سوق الاوروبي للات ثقيلة و تكيف وتبريد,,"طريق غريان،، جنزور،،",Equipment importer
الميثاق الدولية,,RF47+97,Equipment importer
alkhalijia company,,,Equipment importer
Health Queen,,,Equipment importer
Home-Garden-Access,218 91-3100242,"Bader ST, 101 Gaswit",Flooring store
شركة البساتين للأثاث,,V5PR+VGG,Furniture wholesaler
