Product Code,Product Label,"UAE export to libya Value in 2022, USD thousands","nnual growth in value uae export to libya between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"libya import from world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported libya to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"CO2 emission, Tons ","Uae export to world Value in 2022, USD thousand ","Annual growth in value between Uae export to world  2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , , , , , ,,741,63,0,177, ,"4,186",N/A,"3,300",-12,0,0, , ,
10129,Live horses (excl. pure-bred for breeding), , , , , , , ,,326,8,0,37, ,"8,811",N/A,878,-35,0,0, , ,
10221,Pure-bred cattle for breeding, , , , , , , ,,"5,698",10,0,"2,229", ,"2,556",N/A, , , ,13, ,"13,538",
10229,Live cattle (excl. pure-bred for breeding), , , , , , , ,,"42,000",-23,1,"13,256", ,"3,168",N/A,"5,602", ,0,0, , ,
10290,Live bovine animals (excl. cattle and buffalo), , , ,0, , , ,,"2,576",-35,0,798, ,"3,228",N/A, , , ,12, ,"1,250",
10410,Live sheep, , , ,0, , , ,,"8,422",-57,1,"2,347", ,"3,588",N/A,339, ,0,0, , ,925
10420,Live goats, , , ,0, , , ,,13, ,0,2, ,"6,500",N/A, , , ,0, , ,-
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , , ,0, , , ,,1, ,0,0, , ,N/A,16,-25,0,20, ,"53,000",
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , , , , , ,,3,34,0,1, ,"3,000",N/A,28,-28,0,0, , ,
10611,Live primates, , , ,0, , , ,,2, ,0,0, , ,N/A, , , ,0, , ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , , , , , ,, , , , , , ,N/A,1, ,0, , , ,
10613,Live camels and other camelids [Camelidae], , , , , , , ,,"1,690",44,1,"1,206", ,"1,401",N/A,"12,287",345,8,0, , ,
10614,Live rabbits and hares, , , , , , , ,,2, ,0,0, , ,N/A,1,78,0,0, , ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , , ,0, , , ,,734,-25,0,440, ,"1,668",N/A,259,1,0,0, , ,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""", , , , , , , ,, , , , , , ,N/A,19,163,0,0, , ,
10631,Live birds of prey, , , , , , , ,, , , , , , ,N/A,609,11,2,0, , ,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""", , , ,0, , , ,,49,-2,0,0, , ,N/A,206,139,1,0, , ,3
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .", , , ,0, , , ,,244,16,0,0, , ,N/A,437,-28,1,0, , ,
10641,Live bees, , , , , , , ,,1, ,0,0, , ,N/A, , , ,0, , ,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .", , , , , , , ,, , , , , , ,N/A,12,-25,0,0, , ,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled", , , ,0, , , ,,1, ,0,0, , ,N/A,17,0,0,"38,415", ,"4,511",
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)", , , ,0, , , ,,109, ,0,5, ,"21,800",N/A,34,-39,0,"2,290", ,"9,909",
20130,"Fresh or chilled bovine meat, boneless", , , ,0, , , ,,61, ,0,3, ,"20,333",N/A,242,-25,0,"29,140", ,"8,822",
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)", , , ,0, , , ,,901,-4,0,248, ,"3,633",N/A,38,-39,0,"2,042", ,"7,135",
20230,"Frozen, boneless meat of bovine animals", , , ,0, , , ,,"52,884",29,0,"14,810", ,"3,571",N/A,"3,944",3,0,"101,593", ,"3,858","3,647"
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in", , , , , , , ,, , , , , , ,N/A,1, ,0,22, ,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .", , , , , , , ,, , , , , , ,N/A,9, ,0,188, ,"7,277",
20321,Frozen carcases and half-carcases of swine, , , ,0, , , ,,3, ,0,0, , ,N/A, , , ,90, ,"3,267",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in", , , , , , , ,, , , , , , ,N/A,21,-17,0,"1,731", ,"1,776",
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .", , , ,0, , , ,,2,-26,0,1, ,"2,000",N/A,114,-40,0,"13,507", ,"2,512",-
20422,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,0, , , ,,2,-38,0,0, , ,N/A, , , ,"4,927", ,"9,658",
20441,Frozen sheep carcases and half-carcases (excl. lambs), , , ,0, , , ,,89,-34,0,18, ,"4,944",N/A, , , ,985, ,"4,470",
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,0, , , ,,235,-10,0,40, ,"5,875",N/A,30,-45,0,"6,131", ,"6,259",9
20443,Frozen boneless cuts of sheep, , , , , , , ,, , , , , , ,N/A,17,-52,0,"2,493", ,"8,081",
