company name,contact number,area,product category 1,product category 2
RESUELVO Y AGRADO SA DE CV,tel:+52 52767149,Ciudad de mexico - Mexico,"Photographic studios, film processing services",Services to businesses
"Grupo Solave S.A. de C.V., NOBAZUL (NOBAZUL)",tel:+52 3322654006,Guadalajara - Mexico,Food,Ice cream and sorbet
PISOS Y TABIQUES EXTRUIDOS,tel:+52 5544311355,Cdmx - Mexico,Ceramic flooring tiles,"Floorings, ceramic, corrosion resistant, for the chemical, food and brewery industries"
Ivory Phar S.A. de C.V.,tel:+52 818381 0011,Garcia - Mexico,Importers and exporters,"Importers-exporters, waste and scrap"
TUVANOSA,tel:+52 4726882767,Silao - Mexico,"Pipes, tubes, ducts and pipelines, ferrous metals","Pumps, by use"
"GMF Mexican Fiber's, S.A. de C.V., https://mexicanfibers.com/ (https://mexicanfibers.com/)",tel:+52 9212158891,Coatzacoalcos - Mexico,Glass fibre reinforced plastic (GRP) products,
Roma limpieza inmobiliaria,tel:+52 5623976799,Ciudad de méxico - Mexico,"Industrial cleaning services, by type of premises and equipment",
CUN TRANS SA.DE.CV.,tel:+52 9988487200,Cancún - Mexico,Road transport scheduled passenger services,"Bus and coach services, private, for staff"
Johanathan Mark Camposeco Garcia,tel:+52 4426809031,Santiago de querétaro - Mexico,Logistics and procurement services,Auxiliary trade activities
Calidad Visual en Color SA de CV,tel:+52 2293394511,Boca del río - Mexico,Offset printing presses,"Printing presses, offset, LED-UV drying system"
"EMPAX PACKING LINE, EMPAX",tel:+52 8110155306,Monterrey - Mexico,"Bottles and packaging tubes, plastic","Bottles, plastic, dispenser"
SISTEMAS EXABITE,tel:+52 5615798421,Iztapalapa - Mexico,Information technology (IT) engineering,Information technology (IT) auditing and consulting services
VERANA,tel:+52 5521763649,Queretaro - Mexico,Paints by use,"Protective and safety work clothing, by use"
Zeramarez,tel:+52 5580500454,Ciudad de méxico - Mexico,"Fish, smoked","Salmon, smoked"
alimentos naturales campomar,tel:+52 1487633,Mazatlan - Mexico,"Meat and game, processed","Meat, poultry and game, canned and otherwise packaged"
IR Industrial,tel:+52 8130975144,San nicolas de los garza - Mexico,Plastic products for the mechanical engineering industry,"Bellows, protective, plastic, for mechanical engineering applications"
MAQUNARIA CENTURION SA DE CV,tel:+52 29055169,Colima - Mexico,Transport infrastructure engineering contractors,Bridge and viaduct contractors
Dynamo Furnaces,tel:+52 4425636641,Santiago de querétaro - Mexico,"Furnaces, kilns, ovens, for metal smelting and melting","Furnaces, smelting, gas"
Ecolujo Lifestyle México S.A. de C.V.,tel:+52 5625181508,Ciudad de méxico - Mexico,"Personal care products and cosmetics, organic","Essential and natural oils, organic"
Tech House,tel:+52 3327014323,Zapopan - Mexico,Information technology support and maintenance services (help desks),
"CONSTRUCTORA Y SERVICIOS GENKA, SA DE CV",tel:+52 8666300074,Monclova - Mexico,Structural metal fabrications for building work,Mechanical assembly contractors
