Product Code,Product Label,"UAE export to mexico Value in 2022, USD thousands","Mexico Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,UAE to mexico Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"mexico import from world Value in 2022, USD thousand ","Annual growthmexico import from world in value between 2018-2022, %, p.a. ","Share in world imports mexico to world, % ",Quantity exported from mexico to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE Export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , , , , ,,0, ,0, , , ,"3,300",-12,0,0, , ,
10129,Live horses (excl. pure-bred for breeding), , ,15, , , ,84,"45,487",-16,2,"1,742",Tons,"26,112",878,-35,0,0,Tons, ,
10130,Live asses, ,0,20, , , ,8,79,-47,4,197, ,401, , , ,0, , ,
10190,Live mules and hinnies, ,0,20, , , ,21,35,-52,0,28,Units,"1,250", , , ,4,Units,"21,500",
10229,Live cattle (excl. pure-bred for breeding), , ,5, , , ,63,"104,144",38,1,"31,646",Tons,"3,291","5,602", ,0,0,Tons, ,
10410,Live sheep, , , , , , ,,0, ,0, , , ,339, ,0,0, , ,-
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , ,3, , , ,24,"14,146",-32,1,0, , ,16,-25,0,20, ,"53,000",-
10512,"Live domestic turkeys, weighing <= 185 g", ,0, , , , ,,517,-56,0,"261,452", ,2, , , , , , ,
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , , , , ,,0, ,0, , , ,28,-28,0,0, , ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , , , , ,,0, ,0, , , ,1, ,0, , , ,
10613,Live camels and other camelids [Camelidae], , , , , , ,,0, ,0, , , ,"12,287",345,8,0, , ,
10614,Live rabbits and hares, , , , , , ,,0, ,0, , , ,1,78,0,0, , ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , ,15, , , ,124,769,-35,0,"5,043",Tons,152,259,1,0,0,Tons, ,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""", , ,20, , , ,108,0, ,0, ,Units, ,19,163,0,0,Units, ,
10631,Live birds of prey, , , , , , ,,0, ,0, , , ,609,11,2,0, , ,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""", , , , , , ,,0, ,0, , , ,206,139,1,0, , ,-
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .", , , , , , ,,0, ,0, , , ,437,-28,1,0, , ,
10649,Live insects (excl. bees), ,0,20, , , ,18,61,-52,0,1, ,"61,000", , , ,0, , ,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .", , ,8, , , ,136,615,-63,0,0,Tons, ,12,-25,0,0,Tons, ,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled", , , , , , ,,0, ,0, , , ,17,0,0,"38,415", ,"4,511",
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)", , ,20, , , ,16,"34,600",-2,1,"2,769",Tons,"12,495",34,-39,0,"2,290",Tons,"9,909",-
20130,"Fresh or chilled bovine meat, boneless", , ,20, , , ,16,"676,568",-3,3,"82,524",Tons,"8,198",242,-25,0,"29,140",Tons,"8,822",1
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)", , ,25, , , ,14,"3,069",-20,0,286,Tons,"10,731",38,-39,0,"2,042",Tons,"7,135",-
20230,"Frozen, boneless meat of bovine animals", , ,25, , , ,14,"33,887",-1,0,"4,158",Tons,"8,150","3,944",3,0,"101,593",Tons,"3,858",5
20311,Fresh or chilled carcases and half-carcases of swine, ,0,20, , , ,16,"9,516",152,0,"4,793", ,"1,985", , , ,32, ,"2,531",
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in", , ,20, , , ,16,"2,110,434",17,42,"1,001,578", ,"2,107",1, ,0,22, ,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .", , ,20, , , ,16,"219,800",12,2,"90,832",Tons,"2,420",9, ,0,188,Tons,"7,277",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in", , ,20, , , ,16,"4,289",-13,0,"1,654",Tons,"2,593",21,-17,0,"1,731",Tons,"1,776",-
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .", , ,20, , , ,16,"263,596",3,2,"98,168",Tons,"2,685",114,-40,0,"13,507",Tons,"2,512",-
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)", , ,10, , , ,15,652,-62,0,139, ,"4,691",30,-45,0,"6,131", ,"6,259",2
20443,Frozen boneless cuts of sheep, , , , , , ,,0, ,0, , , ,17,-52,0,"2,493", ,"8,081",-
20610,Fresh or chilled edible offal of bovine animals, , ,20, , , ,28,"2,689",67,0,213,Tons,"12,624",87, ,0,134,Tons,"4,500",
20621,Frozen edible bovine tongues, ,0,20, , , ,15,"5,475",-21,1,741, ,"7,389", , , ,101, ,"2,802",
20622,Frozen edible bovine livers, , ,20, , , ,15,409,-38,0,325,Tons,"1,258",96,26,0,"1,767",Tons,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers), , ,20, , , ,28,"201,726",5,8,"42,870",Tons,"4,706","3,829", ,0,"3,983",Tons,"1,993",-
20630,Fresh or chilled edible offal of swine, ,0,15, , , ,56,"163,380",10,28,"142,558", ,"1,146", , , ,52, ,"2,212",
20649,"Edible offal of swine, frozen (excl. livers)", , ,5, , , ,30,"84,212",-3,2,"47,273",Tons,"1,781",338, ,0,"2,768",Tons,"1,238",
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces", ,0,75, , , ,16,"2,522",46,0,"1,936", ,"1,303", , , ,180, ,"4,722",
