Product Code,Product Label,"UAE export to russia Value in 2022, USD thousands","nnual growth in value between 2018-2022, %, p.a","Russia Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported Uae to russia in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"russia import from world Value in 2022, USD thousand ","Annual growth in value between russia import from world 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported russia to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"uae to world export Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported Uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , ,0, , , ,4,"1,077",-19,0,0,Tons, ,"3,300",-12,0,0,Tons, ,
10129,Live horses (excl. pure-bred for breeding), , , ,5, , , ,10,541,29,0,35,No quantity,"15,457",878,-35,0,0,No quantity, ,
10221,Pure-bred cattle for breeding, , , ,0, , , ,15,"60,866",-20,5,0,Tons, , , , ,13,Tons,"13,538",
10229,Live cattle (excl. pure-bred for breeding), , , ,5, , , ,55,98,-80,0,51,No quantity,"1,922","5,602", ,0,0,No quantity, ,
10310,Pure-bred breeding swine, , , , , , , ,,"4,934",-16,3,0,Tons, , , , , ,Tons, ,
10410,Live sheep, , , ,3, , , ,15,953,-43,0,66,No quantity,"14,439",339, ,0,0,No quantity, ,4
10420,Live goats, , , ,3, , , ,10,460,-14,1,20,No quantity,"23,000", , , ,0,No quantity, ,33
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , , ,0, , , ,20,"7,461",-23,0,0,No quantity, ,16,-25,0,20,No quantity,"53,000",4
10513,"Live domestic ducks, weighing <= 185 g", , , ,0, , , ,5,41,-38,0,0,Tons, , , , ,0,Tons, ,
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , ,5, , , ,5, , , , ,Tons, ,28,-28,0,0,Tons, ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , ,3, , , ,12, , , , ,Tons, ,1, ,0, ,Tons, ,
10613,Live camels and other camelids [Camelidae], , , ,3, , , ,12,148,153,0,6, ,"24,667","12,287",345,8,0, , ,
10614,Live rabbits and hares, , , ,4, , , ,28,365,22,1,9,No quantity,"40,556",1,78,0,0,No quantity, ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , , ,4, , , ,42,272,-30,0,0,No quantity, ,259,1,0,0,No quantity, ,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""", , , ,3, , , ,8,39,-20,0,0,Tons, ,19,163,0,0,Tons, ,
10631,Live birds of prey, , , ,3, , , ,12,"4,504", ,12,1,Units,"4,504,000",609,11,2,0,Units, ,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""", , , ,3, , , ,12, , , , ,Tons, ,206,139,1,0,Tons, ,-
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .", , , ,3, , , ,21,689,-6,1,0,Units, ,437,-28,1,0,Units, ,
10641,Live bees, , , ,4, , , ,35,"2,180",6,3,235,Tons,"9,277", , , ,0,Tons, ,
10649,Live insects (excl. bees), , , ,3, , , ,14,"2,993",-7,1,52,Tons,"57,558", , , ,0,Tons, ,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .", , , ,3, , , ,20,"1,662",-4,1,0,No quantity, ,12,-25,0,0,No quantity, ,
