company name ,contact number,Area,product category 1,product category 2,product category 3,company description
Chat Luong Import Export Trading Production Company Limited,tel:+84 +84 8 0288648930,Ho chi minh - Viet Nam,"Metal containers, for packaging, transport and storage NES","Containers and bottles, aluminium","Pipes and tubes, non-ferrous metals...",
"HBTEX GROUP CO., LTD, HBTEX CO., LTD (HBTEX CO., LTD)",tel:+84 94 9116082,Y yen dist nam dinh city - Viet Nam,Sportswear and leisurewear,"Sports shirts, polo shirts and sweatshirts",Clothes for men...,
"Lotus Technology Services , LTS Group (LTS Group)",tel:+84 96 032466607474,Hanoi - Viet Nam,"Software, coding and programming","Software, computer aided software testing (CAST)","Software, integration testing (IT)...",
"STARLIGHT  GLOBAL TRADING COMPANY LIMITED, SGT COMPANY (STARLIGHT  GLOBALTRADING COMPANY LIMITED)",,Ho chi minh - Viet Nam,Logistics services,"Nuts, processed","Cashew nuts, processed...",
ALLAN LOGISTICS,tel:+84 973786998 0973786998,Hà nội - Viet Nam,Workwear and workwear accessories,"Garments, clerical, ecclesiastical, monastic",Catering machinery and equipment NES...,"Allan is a global supplier of goods and logistics solutions. We have offices in Hanoi and branches at Da Nang City, Ho Chi Minh City and an international network of partners and agents. We are looking forward to finding many reputable importers."
Phu Bao Group Company Limited,tel:+84 28 39142980,Ho chi minh - Viet Nam,"Protective helmets, masks, eye shields and glasses","Face masks and shields, protective, industrial",,
"FULMEX., JSC",tel:+84 913 597929,Hanoi - Viet Nam,Tea,"Tea, black (fermented)","Tea, black or green, flavoured",
"Hoa Phat Home Appliances Joint Stock Company, Hoa Phat Home Appliances",tel:+84 0969809123,Hanoi capital - Viet Nam,Refrigerators,"Refrigerators and deep freezers, combined",Air conditioners...,
"DUY TAN PRECISION MOLD COMPANY LIMITED, DUY TAN MOLD CO., LTD",tel:+84 2837545418,"Tân tạo, bình tân, hồ chí minh - Viet Nam",Mould and pattern making services for the rubber and plastic industry,"Moulds, injection blow moulding, for plastics","Moulds, metal, injection moulding, for plastics...",
IRIFACTORY VINA,tel:+84 0976367123,Hai duong - Viet Nam,Plastic products NES,"Netting and mesh, plastic",,
"Seivina import export., ltd., SEIVINA (Co.Ltd)",tel:+84 367893056,Thuan an - Viet Nam,Oral and dental care products,"Cleaning products and detergents, by use",Hair care products...,
"Viet Dragon International Developing Co., Ltd, VIDRACO",tel:+84 965194550,Ho chi minh - Viet Nam,Sawing and primary processing of wood,Wood trims,"Seats and seating furniture, domestic...",
"Hoang Minh Anh Trading & Import-Export Joint Stock Company, - (-)",tel:+84 (+84) 0329597905,Hanoi - Viet Nam,Wholesale trade,"Hospital, medical, dentistry and veterinary equipment (wholesale)","Medical and surgical equipment, veterinary...",
Nhat Huy Group,tel:+84 0902267398,Ha noi - Viet Nam,Publishing: Newspapers and magazines,"Publishers of mathematics, physics, chemistry and natural science reviews",Legal experts...,"The Leading Company In Developing & Exporting Natural Stone & Quartz, Filler Masterbatch, CaCO3 Powder, PVC Compound, Stone Fabrication."
MBT ELECTRIC JSC,tel:+84 91 3006538,Tunceli - Viet Nam,Magnifiers,"Magnifiers, reading",Telescopes...,
"Khang Thanh Manufacturing Joint Stock Company, Khang Thanh Manufacturing JSC (House of Pakaging)",tel:+84 84 778878222,Bien hoa - Viet Nam,Cardboard boxes,"Boxes, fibreboard",Packaging contractors...,
"HS Polycarboxylate, HS (Polycarboxylate)",tel:+84 58 736 6167,Ho chi minh - Viet Nam,Chemicals for building materials,Concrete and mortar accelerators/hardeners,Concrete and mortar retardants...,
"V-LINK LOGISTICS CO.,LTD, - (V-LINK LOGISTICS TRANSPORTATION COMPANY LIMITED)",tel:+84 02866529039,Ho chi minh city - Viet Nam,Shipping and forwarding agents,"Shipping and forwarding agents, international","Shipping and forwarding agents, sea transport...",
"CÔNG TY TNHH BAO BÌ VIỆT NAM, VIET NAM PACK CO.,LTD (VIET NAM PACK CO.,LTD)",tel:+84 84 938793186,Ho chi minh city - Viet Nam,Corrugated paper and board,"Paper, corrugated",Coated and laminated paper and board...,
"VIETEX GATEWAY CO.,LTD",tel:+84 913356556 913356556,Thai binh - Viet Nam,Sportswear and leisurewear,"Shorts, sportswear, for men","Shorts, sportswear, for women",
Hai Khanh Freight Forwarders JSC,tel:+84 0904 052 624,Hai phong - Viet Nam,"Air transport services, passenger and freight","Air freight services, express",,
"NGHI SON AQUATIC PRODUCT EXIM CO., LTD",tel:+84 93 1886307,Ho chi minh city - Viet Nam,Tuna,"Food, dehydrated and freeze-dried...",,
VINA VALVES JOINT STOCK COMPANY,tel:+84 366622289,Hanoi - Viet Nam,"Valves, cocks, taps and fittings, by metal type","Valves, brass",...,
"VU GIA HDP Co.,Ltd",tel:+84 93 7030956,Bình dương - Viet Nam,Tissue paper,"Tissue paper, interleaving",Perfumes and perfumery products...,
Anh Kiet Group,tel:+84 0903268556,Hanoi - Viet Nam,Fertiliser production plant and equipment,"Fertiliser production plant, nitrogenous","Fertilisers, chemical and mineral...",
Oriental Garments An Giang,tel:+84 2963 2963 66 77 11,Chau thanh - Viet Nam,"Clothes and articles, weatherproof and waterproof",Clothes by fabric,"Clothes, imitation fur...",
G.C Food Joint Stock Company,tel:+84 382369818,Hochiminh - Viet Nam,"Nuts, processed","Cashew nuts, processed",,
Trường Hưng,tel:+84 0931132006,Hồ chí minh - Viet Nam,Mattresses,Bed linen,"Mattress and mattress base covers, textile...",
HONG KY CORPORATION,tel:+84 938753668,Ho chi minh city - Viet Nam,Arc welding machinery and equipment,"Welding machines, arc, portable",,
Viet Haus Company Limited,tel:+84 399 587237,Ho chi minh city - Viet Nam,Catering machinery and equipment NES,"Food containers for food counters, catering","Food processors, catering...",
Anh Kiet Group,tel:+84 90 3268556,Hanoi - Viet Nam,Fertiliser production plant and equipment,"Fertiliser production plant, nitrogenous","Fertilisers, chemical and mineral...",
Sunrise Ins Vietnam,tel:+84 94 8682702,Ho chi minh - Viet Nam,Cereals and pseudo cereals,Rice,,
Công ty TNHH đầu tư thiết bị công nghiệp Hà Nội,tel:+84 961865247 0961865247,Hà nội - Viet Nam,"Organic acids, their anhydrides and acid halides",p-tert-Butylbenzoic acid,p-Chloroaminophenol sulphonic acid...,
Tradeasia Vietnam,tel:+84 8 3827 7218,Ben nghe ward - Viet Nam,Fabrics for industrial use NES,"Fabrics, industrial, acid and chemical resistant",,
Viet Delta Industrial CORP.,tel:+84 387 006660,Ho chi minh city - Viet Nam,"Food, dehydrated and freeze-dried","Seafood, freeze-dried",Candles...,
KOTINOCHI JSC,tel:+84 385 707168,Ho chi minh city - Viet Nam,Animal feed,"Meat, dried, animal feed",Gloves...,
ONE TECH VIETNAM,tel:+84 795021077 968969291,Hanoi - Viet Nam,"Bookcases and television and hi-fi furniture, domestic","Shelving units, domestic",Office filing and storage furniture...,
Công Ty TNHH Sx - TM - DV - XD Phát Triển Lena Phát,tel:+84 901478010 6794896,Ho chi minh city - Viet Nam,Textile articles for medical and surgical use,Ostomy garments,Clothes for men...,
OBD VIET NAM JOINT STOCK COMPANY,tel:+84 0844038777,Ho chi minh - Viet Nam,Medical examination equipment,"Oscillographs, diagnostic",Mechanical assembly contractors...,
Eco Wipes Viet Nam Corporation,tel:+84 339 103584,Ho chi minh city - Viet Nam,Baby hygiene products,"Wipes, paper, for babies",,
Centic Vietnam JSC,tel:+84 93 8014779,Ho chi minh city - Viet Nam,Travel goods and bags,Shopping bags,Bags for shopping trolleys (shoppers)...,
Phu Hao International,tel:+84 +84 0388646458,Ho chi minh city - Viet Nam,"Cane, wicker, straw and rush products",Wickerwork products for agriculture,International organisations...,
VIET TRUONG,tel:+84 90 2236768,Hai phong - Viet Nam,"Shellfish and seaweed, canned and bottled","Oysters, canned","Surimi, canned...",
"SHEHAB INTERNATIONAL TRADING AND INVESTMENT CO.,ltD",tel:+84 912633390 0912633390,Ho chi minh - Viet Nam,Fruit juices,Redcurrant juice,,
"Gia Hung Phat Co,. Ltd",tel:+84 911561991 911561991,Thanh hoa - Viet Nam,Refuse derived fuels (RDF),"Pellets, wood",,Producer and Distributor
"Dai Shin Enterprise Co., Ltd",tel:+84 869 057310,District 7 - Viet Nam,Fans and ventilators,"Fans, portable, industrial, electric",,
TDF JONT STOCK COMPANY,tel:+84 986167677 986167677,Binh duong - Viet Nam,"Seats and seating furniture, domestic",Cushions and pillows,"Cushions, garden furniture...",We are manufactory wooden furniture for Indoor and outdoor in Vietnam. With nice products and cheap price for you. Please contact with us if you have any question. My whatsapp: +84986167677 - Dzung ; Wechat: dzung1977
Leepak Joint Stock Company,tel:+84 762002459 2223866889,Hanoi - Viet Nam,Biodegradable plastic products,"Bags and sacks, plastic","Bags and sacks, plastic, by use...",
VAN THANG AGRIULTURAL PRODUCT COMPANY LIMITED,tel:+84 93 2646846,Ho chi minh - Viet Nam,"Coffee, tea and chicory processing plant and equipment","Driers, coffee bean",Cardboard packagings by use...,
Export wooden pallets,tel:+84 0707401109 0707401109,Bien hoa - Viet Nam,Pallets,"Pallets, wooden, reconditioned",,We specialize in supplying and making to order all kinds of wooden pallets of customers' requirements on the size and material of the products.
"U&B Agricutural Import Export Co.,Ltd",tel:+84 938980817,Ho chi minh - Viet Nam,"Spices and herbs, processed","Cinnamon, processed",Star anise/badiane...,
Vikafood,tel:+84 0383776866,Dong nai - Viet Nam,"Fruit, processed",Fruit juices,"Food, dehydrated and freeze-dried...",
"VINASAMEX., JSC",tel:+84 4 0979547465,Hà nội - Viet Nam,"Herbs, spices, condiments and sauces, organic","Spices and herbs, processed, organic","Spices and herbs, processed...",
HST Trading Ltd.Co.,tel:+84 387 450228,Bac ninh - Viet Nam,Bath linen,"Facecloths, glove",Gloves...,
Martin Vietnam,tel:+84 84 886023131,Ho chi minh city - Viet Nam,Factory ship operators,,,
TKT LOGISTICS,tel:+84 84 0373961237,Ho chi minh - Viet Nam,Shipping and forwarding agents,Freight brokers for sea transport,"Freight brokers, road transport",
Green Energy Vietnam PCE-Polycarboxylate Manufacturer,tel:+84 8591493399,"Duc hoa, long an, vietnam - Viet Nam",Chemicals for building materials,Concrete and mortar plasticisers,"Cement additives, moisture reducing",
THANH THANH CONG TRADING JOINT STOCK COMPANY,tel:+84 93 9313175,International business department - Viet Nam,Alcohols and epoxides,Ethyl alcohol/ethanol,Sugar...,
METKRAFT,tel:+84 28 37701688,Ho chi minh city - Viet Nam,"Blades, metal","Blades for trimming knives, industrial",Log processing machinery and equipment for paper pulp production...,
METKRAFT LTD.,tel:+84 28 37701688,Ho chi minh city - Viet Nam,"Blades, metal","Blades for trimming knives, industrial",,"We offer high-quality and cost-effective industrial knives. Our industrial knives and blades are widely used in many different industries from converting paper to wood, steel splitting, recycling and construction."
TRUNG DUNG PHAT TRADING PRODUCTION COMPANY LIMITED,tel:+84 0825563199,Thu dau mot cty - Viet Nam,Coating services for plastic and rubber materials,Coating services for plastic with plastic film,,
Trung Ha Wood Joint Stock Company,tel:+84 372252829,Ho chi minh - Viet Nam,"Flooring, wooden. Parquet","Flooring, wooden, laminated","Flooring, roofing and wall coverings, plastic, for the building industry...",
J&T International Logistics Vietnam,tel:+84 00 0902861811,Ho chi minh city - Viet Nam,Logistics engineering consultants,Online logistics/e-logistics consultants,"Logistics consultants, fourth party logistics (4PL)","J&T International Logistics service Airfreight from Vietnam to EU, USA and ASEAN Seafreight to USA, EU, Middle East International Express Courier Cross Border Trucking JT International Logistics Vietnam www.jtlogistics.asia"
"Harmoor Vietnam Co., Ldt, Harmoor (Harmoor Vietnam)",tel:+84 84 965334570,Dong phu district - Viet Nam,"Chairs and seating, hospital and medical",Conference and meeting room furniture,"Furniture, kitchen, domestic...",
KSD Interfoods Vietnam,tel:+84 84 325327719,Hochiminh city - Viet Nam,"Fish, canned, bottled and otherwise packaged","Tuna fish, canned",...,
Invi Bridge,tel:+84 961335670,Ho chi minh city - Viet Nam,"Sportswear, by sport type","Gut, natural and artificial. Sausage casings",Wholesale trade...,"Manufacture, distribute, several international brands in different markets including extreme sports, manufacturing, services, and human development."
Eyelight Vietnam Ophthalmology Corporation,tel:+84 963950191 0963950191,Hanoi - Viet Nam,Industrial safety and accident prevention consultants,Occupational health/hygiene consultants,"Health consultants, sanitary installations",
MINH DO PRODUCTION TRADING COMPANY LIMITED,tel:+84 0888415088,Ho chi minh - Viet Nam,"Pipes, tubes, ducts and hoses, plastic","Tubing, polyvinyl chloride (PVC)","Pipes and tubes, polyvinyl chloride (PVC)...","Sản xuất sản phẩm từ nhựa Chi tiết: Sản xuất ống nhựa uPVC, PPR, HDPE, PE, PS, PET, PP, PA, PC, ABS và nhựa dẻo, sản xuất vòi và van nhựa, sản xuất thùng, bồn, bồn, lọ nhựa."
IRI FACTORY,tel:+84 8 6762 9699,Hai duong - Viet Nam,Crop protection equipment,"Nets, crop protection","Nets and netting, textile...",
NHAT TAM INTERNATIONAL JOINT STOCK COMPANY,tel:+84 0819475577 0819475577,Ho chi minh - Viet Nam,Logistics services,Shipping and forwarding agents,"Customs clearance agents, sea freight...",
"Nawon F&B Co.,Ltd",tel:+84 0854383738,"Tan binh town, di an city, binh duong province - Viet Nam","Drinks, canned, bottled or otherwise packaged","Lemonade, carbonated and soft drinks, non-alcoholic",Milk drinks...,"Beverage Manufacturer, Wholesale, OEM, Juice, Drink"
Hako Green,tel:+84 914866669,Ha noi - Viet Nam,Bamboo articles,"Kitchenware, bamboo","Cane, wicker, straw and rush products...",
SWEET COMMUNICATION,tel:+84 901229188,Ho chi minh - Viet Nam,Information technology (IT) outsourcing services,Marketing and merchandising services,Internet marketing services...,
MNC trading development and investment co;ltd,tel:+84 93 6026662,Hai phong - Viet Nam,Wooden products NES,"Briquettes, charcoal",Cereals and pseudo cereals...,"We export Agriculture protucts ( pineapple canned, wood charcoal, sawdust charcoal, coconutshell charcoal, rice ...) , Take-away products ..."
"Phuong Duy Import and Export Co., Ltd, Phuong Duy Crafts",tel:+84 962675896 0962675896,Ha noi - Viet Nam,Pre-processed cotton and other vegetable textile fibres,"Fibres, bamboo and rattan","Cane, wicker, straw and rush products...",
"Kien Tin Co., Ltd.",tel:+84 9 09909848,Hochiminh city - Viet Nam,"Trimming materials, by use",Logistics and procurement services,Art and craft activity games...,"Trading, logistics, sourcing, services"
"FMCG VIET ONE MEMBER COMPANY LIMITED - FMCG VIET CO.,LTD",tel:+84 2822531960 0917036446,Ho chi minh - Viet Nam,Oral and dental care products,Toothpastes,Importers and exporters...,
PEX VINA,tel:+84 932322756,Ha noi - Viet Nam,"Boxes, metal, for packaging, transport and storage","Boxes, metal, for electrical panels",,"Dear Sir We are manufacturer in Vietnam, we have been exported my engineer products to Houston, USA we are pleased if you send your technical inquiry to me to quote. we hope to cooperate with you in future. Best regards Pham Thu Ha"
Hanoi Plastic Bag JSC,tel:+84 989300686,Hanoi - Viet Nam,Biodegradable plastic products,"Bags, plastic, photodegradable or biodegradable",Paper bags and sacks for packaging...,
Công Ty Cổ Phần Dinh Dưỡng Nutrihome,tel:+84 24 73033599,Hà nội - Viet Nam,Industrial safety and accident prevention consultants,"Health consultants, sanitary installations","Health services, specialised...",
KOTINOCHI JS CO.,tel:+84 708547568,Ho chi minh city - Viet Nam,"Fodder and cereal, for animals",Fertiliser production plant and equipment,Truck/lorry trailers...,
"An Thao Giang Import Export Service Trading Co., Ltd.",tel:+84 336 986114,Thuan thanh - Viet Nam,Refuse derived fuels (RDF),"Pellets, wood",,"If you have interests in wooden pellet from Vietnam, please contact us : An Thao Giang Import Export Service Trading Co., Ltd."
MEGA Technology,tel:+84 387577733 387577733,Da nang - Viet Nam,Personal computers (PC),"Computers, laptops",Computer processors...,"MEGA Technology - Phân phối tất cả các dòng sản phẩm PC Gaming, laptop, thiết bị văn phòng. Sở hữu thương hiệu với giá tốt cùng mega.com.vn"
NAACO PLASTIC JOINT STOCK COMPANY,tel:+84 902955095,Hochiminh - Viet Nam,Composite plastic products,,,
"Saigon Steel Service and Processing Co., Ltd",tel:+84 374599954,Bien hoa - Viet Nam,"Sheets and strips, steel, cold rolled","Steel sheets, medium, cold rolled","Sheet iron and steel, coated or magnetic...",
"Vietnam Cellutane Co., Ltd",tel:+84 2723836810 0866220827,Tỉnh long an - Viet Nam,"Seats and seating furniture, domestic",Beanbags,"Beds and accessories, domestic...","Cellutane Việt Nam là OEM chuyên gia công các sản phẩm nội thất như bọc sofa, bọc đậu, chăn, gối, túi vải, ... Chúng tôi có nhiều năm kinh nghiệm trong việc may bọc sofa và bọc beanbag xuất khẩu sang Nhật Bản và Mỹ"
Long Thinh General Import Export Trading Company Limited,tel:+84 84 0938 886 300,Ho chi minh city - Viet Nam,"Food, dehydrated and freeze-dried","Tea, freeze-dried",Cereals and pseudo cereals...,
Prosperous Partnership International Company Limited (PPI Sourcing),tel:+84 977092039,Hanoi - Viet Nam,"Household linen, clothing and footwear, organic fabrics","Leather and leather products, organic",,
GREEN OCEAN EXPORT IMPORT COMPANY LIMITED,tel:+84 283 862835558,Hcmc - Viet Nam,Logistics services,Shipping and forwarding agents,"Shipping and forwarding agents, sea transport",
"ADK MANUFACTURING AND TRADING CO.LTD, Export and Import  Agricultural Products and Seafoods such as Rice Straw,  Dragon Fruits, Seedless Limes, Banana, Shrimps,  Basa Fish... (ADK MANUFACTURING AND TRADING CO.LTD)",tel:+84 0935806279,Quy nhon - Viet Nam,"Fruit, processed",Wallpaper and paper backed wall coverings,"Fruit, tropical and subtropical...",
Đông Á Beauty,tel:+84 962778866 19006499,Hà nội - Viet Nam,Dermatology equipment,"Hair removal devices, pulsed light, beauty care",Ultrasonic equipment for biological and medical applications...,"Bệnh viện chuỗi - TMV đẳng cấp quốc tế ban đầu tại Việt Nam, có mặt tại các thành phố lớn."
Alfamedio,tel:+84 7999 986481,London - Viet Nam,"Software, internet and intranet","Software, search engine optimisation (SEO)",,
Maple Home Garden LLC,tel:+84 0903845920,Ho chi minh - Viet Nam,"Seats and seating furniture, domestic","Furniture, upholstered","Sofas, leather upholstered...","Producer, Exporter, Importer of Luxury Furniture http://maplehomegarden.com"
Âm Thanh Giá Kho DXaudio,tel:+84 0989313104,Ho chi minh - Viet Nam,Sound equipment,Recording equipment for industrial use,"Sound synthesis appliances, audio reproduction",
Nguyen Van Hao,tel:+84 94 3071882,Ha noi - Viet Nam,Pharmaceutical raw materials to national standards,Raw materials for pharmaceuticals...,,"Research, develop for marketing teams"
"HOANG DANG KHOI IMPORT EXPORT CO.,LTD",tel:+84 2866529039 8466529039,Binh duong province - Viet Nam,Sugar confectionery,Confectionery persipan,,
"VINATIMEX CO., LTD",tel:+84 0329672787,-ho chi minh - Viet Nam,"Nuts, processed","Cashew nuts, processed","Nuts, edible...",
