Product Code,Product Label,"UAE export to south africa Value in 2022, USD thousands","nnual growth in value uae export to south africa between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to south africa in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"south africa imports from world Value in 2022, USD thousand ","Annual growth south africa imports from world  in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from south africa to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Uae export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses,,,,0,,,,,434,-20,0,"1,606",Units,270,"3,300",-12,0,0,Units,,
10129,Live horses (excl. pure-bred for breeding),,,,0,,,,,"2,575",-25,0,228,Units,"11,294",878,-35,0,0,Units,,
10130,Live asses,,,0,0,,,,,1,-73,0,1,Units,"1,000",,,,0,Units,,
10190,Live mules and hinnies,,,0,0,,,,,37,107,0,254,Units,146,,,,4,Units,"21,500",
10221,Pure-bred cattle for breeding,,,0,0,,,,,145,168,0,167,Units,868,,,,13,Units,"13,538",
10229,Live cattle (excl. pure-bred for breeding),,,,0,,,,,"171,218",4,2,"347,074",Units,493,"5,602",,0,0,Units,,
10231,Pure-bred buffalo for breeding,,,0,,,,,,5,,0,1,Units,"5,000",,,,,Units,,
10290,Live bovine animals (excl. cattle and buffalo),,,0,0,,,,,100,-48,0,256,Units,391,,,,12,Units,"1,250",
10410,Live sheep,,,,0,,,,,"33,410",-1,3,"426,209",Units,78,339,,0,0,Units,,30
10420,Live goats,,,0,0,,,,,"6,489",-5,11,"167,631",Units,39,,,,0,Units,,8
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",,,,0,,,,,"13,239",14,1,"293,837",Units,45,16,-25,0,20,Units,"53,000",8
10594,"Live fowls of the species Gallus domesticus, weighing > 185",,,,0,,,,,0,,0,,Units,,28,-28,0,0,Units,,
10611,Live primates,,,0,0,,,,,4,-3,0,12,Units,333,,,,0,Units,,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .",,,,,,,,,0,,0,,,,1,,0,,,,
10613,Live camels and other camelids [Camelidae],,,,0,,,,,0,,0,,Units,,"12,287",345,8,0,Units,,
10614,Live rabbits and hares,,,,0,,,,,0,,0,,Units,,1,78,0,0,Units,,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .",,,,0,,,,,28,-57,0,693,Units,40,259,1,0,0,Units,,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",,,,0,,,,,55,33,0,"1,245",Units,44,19,163,0,0,Units,,
10631,Live birds of prey,,,,,,,,,0,,0,,,,609,11,2,0,,,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",15,,7,0,213,Units,70,,103,188,1,265,Units,389,206,139,1,0,Units,,-
10633,"Live ostriches, and emus [Dromaius novaehollandiae]",,,0,0,,,,,0,,0,,Units,,,,,0,Units,,
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .",,,,0,,,,,27,2,0,"2,778",Units,10,437,-28,1,0,Units,,
10649,Live insects (excl. bees),,,0,0,,,,,"1,302",6,1,"1,600,670,226,705",Units,0,,,,0,Units,,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .",,,,0,,,,,165,-15,0,"10,045,638,487",Units,0,12,-25,0,0,Units,,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",,,,40,,,,,"2,144",44,0,786,Tons,"2,728",17,0,0,"38,415",Tons,"4,511",2
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",,,,40,,,,,220,58,0,84,Tons,"2,619",34,-39,0,"2,290",Tons,"9,909",-
20130,"Fresh or chilled bovine meat, boneless",,,,40,,,,,249,-13,0,30,Tons,"8,300",242,-25,0,"29,140",Tons,"8,822",-
20210,Frozen bovine carcases and half-carcases,,,0,40,,,,,207,80,0,96,Tons,"2,156",,,,107,Tons,"7,626",12
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",,,,40,,,,,590,-30,0,245,Tons,"2,408",38,-39,0,"2,042",Tons,"7,135",2
20230,"Frozen, boneless meat of bovine animals",,,,40,,,,,"6,479",-38,0,"1,939",Tons,"3,341","3,944",3,0,"101,593",Tons,"3,858",195
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",,,,15,,,,,0,,0,,Tons,,1,,0,22,Tons,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .",,,,8,,,,,"1,542",114,0,595,Tons,"2,592",9,,0,188,Tons,"7,277",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in",,,,15,,,,,149,-17,0,152,Tons,980,21,-17,0,"1,731",Tons,"1,776",1
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .",,,,8,,,,,"49,960",-6,0,"20,031",Tons,"2,494",114,-40,0,"13,507",Tons,"2,512",15
20410,Fresh or chilled lamb carcases and half-carcases,,,0,40,,,,,64,-48,0,29,Tons,"2,207",,,,"13,817",Tons,"6,571",-
20421,Fresh or chilled sheep carcases and half-carcases (excl. lambs),,,0,40,,,,,968,-54,0,431,Tons,"2,246",,,,"8,771",Tons,"6,960",1
20422,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",,,0,40,,,,,128,66,0,25,Tons,"5,120",,,,"4,927",Tons,"9,658",-
20423,Fresh or chilled boneless cuts of sheep,,,0,40,,,,,0,,0,,Tons,,,,,"1,807",Tons,"10,498",
20430,Frozen lamb carcases and half-carcases,,,0,40,,,,,0,,0,,Tons,,,,,"2,057",Tons,"5,785",
20441,Frozen sheep carcases and half-carcases (excl. lambs),,,0,40,,,,,0,,0,,Tons,,,,,985,Tons,"4,470",-
