Product Code,Product Label,uae export to world Value in 2022,Annual growth in value between uae export to world 2018-2022,Share in world exports,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses,"3,300",-12,0,0,Tons, ,,
10129,Live horses (excl. pure-bred for breeding),878,-35,0,0,Tons, ,,
10229,Live cattle (excl. pure-bred for breeding),"5,602", ,0,0, , ,,
10391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)", , , ,0, , ,,
10410,Live sheep,339, ,0,0,Tons, ,,
10420,Live goats, , , ,0,Units, ,,
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",16,-25,0,20,Tons,"53,000",,3
10594,"Live fowls of the species Gallus domesticus, weighing > 185",28,-28,0,0,Tons, ,,
10611,Live primates, , , ,0, , ,,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .",1, ,0, , , ,,
10613,Live camels and other camelids [Camelidae],"12,287",345,8,0, , ,,
10614,Live rabbits and hares,1,78,0,0, , ,,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .",259,1,0,0,Tons, ,,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",19,163,0,0, , ,,
10631,Live birds of prey,609,11,2,0, , ,,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",206,139,1,0, , ,,
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .",437,-28,1,0, , ,,
10649,Live insects (excl. bees), , , ,0, , ,,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .",12,-25,0,0,Tons, ,,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",17,0,0,"38,415",Tons,"4,511",,
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",34,-39,0,"2,290",Tons,"9,909",,
20130,"Fresh or chilled bovine meat, boneless",242,-25,0,"29,140",Tons,"8,822",,
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",38,-39,0,"2,042",Tons,"7,135",,
20230,"Frozen, boneless meat of bovine animals","3,944",3,0,"101,593",Tons,"3,858",,
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",1, ,0,22,Tons,"2,227",,
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .",9, ,0,188, ,"7,277",,
20321,Frozen carcases and half-carcases of swine, , , ,90,Tons,"3,267",,
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in",21,-17,0,"1,731",Tons,"1,776",,-
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .",114,-40,0,"13,507", ,"2,512",,-
20410,Fresh or chilled lamb carcases and half-carcases, , , ,"13,817",Tons,"6,571",,
20421,Fresh or chilled sheep carcases and half-carcases (excl. lambs), , , ,"8,771",Tons,"6,960",,
20430,Frozen lamb carcases and half-carcases, , , ,"2,057",Tons,"5,785",,
20441,Frozen sheep carcases and half-carcases (excl. lambs), , , ,985,Tons,"4,470",,
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",30,-45,0,"6,131",Tons,"6,259",,1
20443,Frozen boneless cuts of sheep,17,-52,0,"2,493",Tons,"8,081",,-
20610,Fresh or chilled edible offal of bovine animals,87, ,0,134,Tons,"4,500",,
20622,Frozen edible bovine livers,96,26,0,"1,767",Tons,"1,339",,
20629,Frozen edible bovine offal (excl. tongues and livers),"3,829", ,0,"3,983",Tons,"1,993",,
20649,"Edible offal of swine, frozen (excl. livers)",338, ,0,"2,768", ,"1,238",,
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",176,-18,0,"277,686",Tons,"1,869",,-
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,"5,052",-7,0,"265,336",Tons,"2,103",,1
20725,"Frozen turkeys of the species domesticus, not cut into pieces",91,-6,0,391, ,"2,703",,-
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus,6, ,0,47, ,"4,468",,
20727,Frozen cuts and edible offal of turkeys of the species domesticus,261,-6,0,"2,351", ,"2,595",,-
20742,"Frozen domestic ducks, not cut in pieces",3,-60,0,"1,140", ,"2,847",,
20745,Frozen cuts and edible offal of domestic ducks,11,-42,0,292, ,"4,688",,
20753,"Fatty livers of domestic geese, fresh or chilled",1, ,0, , , ,,
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .",92,15,0,41, ,"12,902",,
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked",8, ,0,289, ,"4,920",,
21020,"Meat of bovine animals, salted, in brine, dried or smoked","8,338",205,3,158, ,"12,500",,
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .",117,-15,0,388,Tons,"2,804",,
30111,Live ornamental freshwater fish,15, ,0,0,Tons, ,,
30119,Live ornamental fish (excl. freshwater),2,-42,0,0,Tons, ,,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .",9, ,0,0,Tons, ,,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .",2,94,0,163,Tons,"10,712",,
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .",15,-25,0,1, ,"20,000",,
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",51,8,0,"7,261", ,"8,951",,
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .",200,2,0,159,Tons,"4,686",,
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .",4,26,0,2, ,"20,500",,
30223,"Fresh or chilled sole ""Solea spp.""", , , ,28,Tons,"18,036",,
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , ,98,Tons,"7,102",,
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""",2,-21,0,2, ,"24,500",,
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""",2,-50,0,159,Tons,"5,176",,
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .",5,-24,0,3,Tons,"5,333",,
30242,"Fresh or chilled anchovies ""Engraulis spp.""", , , ,181,Tons,"4,028",,
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .",1, ,0,0,Tons, ,,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",4,-24,0,7,Tons,"5,857",,
30246,"Fresh or chilled cobia ""Rachycentron canadum""", , , ,0,Tons, ,,
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .",3,-5,0,174,Tons,"6,678",,
30251,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , ,17,Tons,"12,941",,
30252,"Fresh or chilled haddock ""Melanogrammus aeglefinus""", , , ,1, ,"12,000",,
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",11, ,0, , , ,,
30259,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .", , , ,20,Tons,"8,600",,
30271,"Fresh or chilled tilapia ""Oreochromis spp.""", , , ,"1,269",Tons,"5,980",,
30272,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,0,Tons, ,,
30273,"Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys . . .", , , ,198,Tons,"2,399",,
30274,"Fresh or chilled eels ""Anguilla spp.""", , , ,0,Tons, ,,
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",30,37,0,72,Tons,"16,639",,
30281,Fresh or chilled dogfish and other sharks,1, ,0,0, , ,,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""",15, ,0,"2,337",Tons,"7,185",,
30285,"Fresh or chilled sea bream ""Sparidae""", , , ,"1,870",Tons,"4,941",,
30289,"Fresh or chilled fish, n.e.s.",56,-16,0,"1,826",Tons,"5,321",,
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .",1,-48,0,4, ,"1,750",,
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")",163,7,0,0, , ,,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",274,52,0,"2,758", ,"7,992",,1
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)",778,-8,1,64,Tons,"5,391",,
30323,"Frozen tilapia ""Oreochromis spp.""",316,272,0,"2,307",Tons,"1,206",,
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",2, ,0,"1,030",Tons,"1,561",,
30325,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .", , , ,"3,820",Tons,"1,495",,
30326,"Frozen eels ""Anguilla spp.""", , , , ,Tons, ,,
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)",10,-45,0,62,Tons,"3,161",,
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .",8, ,0,0, , ,,
30333,"Frozen sole ""Solea spp.""",80, ,0,7,Tons,"6,000",,
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .",1,69,0,386,Tons,"2,119",,
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",16,21,0, , , ,,
30342,"Frozen yellowfin tunas ""Thunnus albacares""",90,33,0,1,Tons,"22,000",,
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""",13, ,0,313,Tons,"1,300",,
30344,"Frozen bigeye tunas ""Thunnus obesus""", , , , , , ,,
30345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)", , , ,23, ,"8,435",,
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .",42,-40,0,446,Tons,"2,726",,
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""",51,-47,0,47, ,"1,255",,
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .",497,43,0,485,Tons,"1,767",,-
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",186,18,0,748,Tons,"2,040",,-
30355,"Frozen jack and horse mackerel ""Trachurus spp.""",588,132,0,157,Tons,"1,510",,
30356,"Frozen cobia ""Rachycentron canadum""", , , , ,Tons, ,,
30357,"Frozen swordfish ""Xiphias gladius""", , , , ,Tons, ,,
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .","1,601",198,0,"1,144",Tons,"3,847",,
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",2,-42,0,263,Tons,"4,871",,
30364,"Frozen haddock ""Melanogrammus aeglefinus""",29, ,0, , , ,,
30365,"Frozen coalfish ""Pollachius virens""",10, ,0, , , ,,
