Product Code,Product Label,"UAE export to vietnam Value in 2022, USD thousands","annual growth export from uae to vietnam in value between 2018-2022, %, p.a","vietnam Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"import Value vietnam from world in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from world to vietnam in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from UAE to world  in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
10121,Pure-bred breeding horses, , , ,0, , , ,,"3,185",249,0,"297,163",No quantity,11,"3,300",-12,0,0,No quantity, ,
10129,Live horses (excl. pure-bred for breeding), , , ,5, , , ,,23,-33,0,0, , ,878,-35,0,0, , ,
10221,Pure-bred cattle for breeding, , , ,0, , , ,,"4,491",8,0,0, , , , , ,13, ,"13,538",
10229,Live cattle (excl. pure-bred for breeding), , , ,5, , , ,,"136,368",-11,2,0,Tons, ,"5,602", ,0,0,Tons, ,
10231,Pure-bred buffalo for breeding, , , , , , , ,,"5,736",199,59,"10,393", ,552, , , , , , ,
10310,Pure-bred breeding swine, , , , , , , ,,"9,978",77,6,0,Tons, , , , , ,Tons, ,
10391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)", , , ,5, , , ,,24,3,0,254, ,94, , , ,0, , ,
10410,Live sheep, , , , , , , ,, , , , , , ,339, ,0,0, , ,
10420,Live goats, , , ,3, , , ,,44,82,0,"1,308", ,34, , , ,0, , ,18
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)", , , ,5, , , ,,"16,193",11,1,0, , ,16,-25,0,20, ,"53,000",11
10513,"Live domestic ducks, weighing <= 185 g", , , ,5, , , ,,335,-18,2,1, ,"335,000", , , ,0, , ,
10594,"Live fowls of the species Gallus domesticus, weighing > 185", , , ,6, , , ,,1,-58,0,0,Tons, ,28,-28,0,0,Tons, ,-
10599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g", , , ,3, , , ,,4,-68,0,0, , , , , ,0, , ,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals . . .", , , , , , , ,, , , , , , ,1, ,0, , , ,
10613,Live camels and other camelids [Camelidae], , , , , , , ,, , , , , , ,"12,287",345,8,0, , ,
10614,Live rabbits and hares, , , ,5, , , ,,1,-23,0,0, , ,1,78,0,0, , ,
10619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, . . .", , , ,5, , , ,,212,-39,0,0,No quantity, ,259,1,0,0,No quantity, ,
10620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""", , , ,5, , , ,,"8,655",5,13,0,No quantity, ,19,163,0,0,No quantity, ,
10631,Live birds of prey, , , ,5, , , ,, , , , ,Units, ,609,11,2,0,Units, ,
10632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""", , , ,5, , , ,,24,-30,0,0, , ,206,139,1,0, , ,-
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches . . .", , , ,5, , , ,,"1,112",13,2,0,Units, ,437,-28,1,0,Units, ,
10641,Live bees, , , ,5, , , ,,4, ,0,0, , , , , ,0, , ,
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other . . .", , , ,5, , , ,,481,10,0,0,No quantity, ,12,-25,0,0,No quantity, ,
20110,"Carcases or half-carcases of bovine animals, fresh or chilled", , , ,30, , , ,,76,-20,0,9,Tons,"8,444",17,0,0,"38,415",Tons,"4,511",
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)", , , ,20, , , ,,"2,051",6,0,115, ,"17,835",34,-39,0,"2,290", ,"9,909",1
20130,"Fresh or chilled bovine meat, boneless", , , ,14, , , ,,"21,614",11,0,"1,439",Tons,"15,020",242,-25,0,"29,140",Tons,"8,822",3
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)", , , ,20, , , ,,"29,723",-3,1,"14,113", ,"2,106",38,-39,0,"2,042", ,"7,135",-
20230,"Frozen, boneless meat of bovine animals", , , ,14, , , ,,"680,396",-26,2,"176,471",Tons,"3,856","3,944",3,0,"101,593",Tons,"3,858","4,710"
20311,Fresh or chilled carcases and half-carcases of swine, , , ,25, , , ,,189,48,0,121, ,"1,562", , , ,32, ,"2,531",
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in", , , ,25, , , ,,186,51,0,100, ,"1,860",1, ,0,22, ,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .", , , ,25, , , ,,731,-46,0,402, ,"1,818",9, ,0,188, ,"7,277",
20321,Frozen carcases and half-carcases of swine, , , ,15, , , ,,27,-30,0,25,Tons,"1,080", , , ,90,Tons,"3,267",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in", , , ,15, , , ,,"13,809",62,1,"9,818", ,"1,406",21,-17,0,"1,731", ,"1,776",5
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .", , , ,15, , , ,,"170,913",35,1,"86,766",Tons,"1,970",114,-40,0,"13,507",Tons,"2,512",32
20410,Fresh or chilled lamb carcases and half-carcases, , , ,7, , , ,,529,-14,0,55, ,"9,618", , , ,"13,817", ,"6,571",
20422,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,7, , , ,,404,-32,0,20, ,"20,200", , , ,"4,927", ,"9,658",-
20423,Fresh or chilled boneless cuts of sheep, , , ,7, , , ,,15,-48,0,1, ,"15,000", , , ,"1,807", ,"10,498",
20430,Frozen lamb carcases and half-carcases, , , ,7, , , ,,4,-21,0,0, , , , , ,"2,057", ,"5,785",-
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,7, , , ,,"4,847",-24,0,416,Tons,"11,651",30,-45,0,"6,131",Tons,"6,259",1
20443,Frozen boneless cuts of sheep, , , ,7, , , ,,"1,934",-14,0,182, ,"10,626",17,-52,0,"2,493", ,"8,081",1
20450,"Fresh, chilled or frozen meat of goats", , , ,7, , , ,,323,-39,0,60,Tons,"5,383", , , ,"15,766",Tons,"5,326",4
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen", , , , , , , ,,"1,217",-57,0,329, ,"3,699", , , , , , ,
20610,Fresh or chilled edible offal of bovine animals, , , ,8, , , ,,"1,448",-45,0,277, ,"5,227",87, ,0,134, ,"4,500",
20621,Frozen edible bovine tongues, , , ,8, , , ,,"2,050",-29,0,782,Tons,"2,621", , , ,101,Tons,"2,802",
20622,Frozen edible bovine livers, , , ,8, , , ,,91,-20,0,53, ,"1,717",96,26,0,"1,767", ,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers), , , ,8, , , ,,"97,924",-30,4,"29,488",Tons,"3,321","3,829", ,0,"3,983",Tons,"1,993",7
20641,Frozen edible livers of swine, , , ,8, , , ,,384,95,1,422, ,910, , , ,214, ,696,
20649,"Edible offal of swine, frozen (excl. livers)", , , ,8, , , ,,"48,604",-26,1,"46,027",Tons,"1,056",338, ,0,"2,768",Tons,"1,238",
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies", , , ,10, , , ,,"1,494",-48,1,722,Tons,"2,069", , , ,"2,530",Tons,"2,447",
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces", , , ,40, , , ,,"59,377",30,2,"43,173", ,"1,375",176,-18,0,"277,686", ,"1,869","1,673"
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus, , , ,40, , , ,,84,-48,0,52, ,"1,615", , , ,260, ,"6,485",
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus, , , ,20, , , ,,"250,413",-22,1,"228,014",Tons,"1,098","5,052",-7,0,"265,336",Tons,"2,103","1,442"
20725,"Frozen turkeys of the species domesticus, not cut into pieces", , , ,40, , , ,,85,-29,0,25, ,"3,400",91,-6,0,391, ,"2,703",1
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus, , , , , , , ,, , , , , , ,6, ,0,47, ,"4,468",
20727,Frozen cuts and edible offal of turkeys of the species domesticus, , , ,20, , , ,,"5,014",5,0,"1,020",Tons,"4,916",261,-6,0,"2,351",Tons,"2,595",5
20742,"Frozen domestic ducks, not cut in pieces", , , ,40, , , ,,27,-72,0,5, ,"5,400",3,-60,0,"1,140", ,"2,847",
20743,"Fatty livers of domestic ducks, fresh or chilled", , , ,15, , , ,,2,-48,0,0, , , , , ,2, ,"55,000",
20745,Frozen cuts and edible offal of domestic ducks, , , ,15, , , ,,839,-55,0,145, ,"5,786",11,-42,0,292, ,"4,688",
20752,"Frozen domestic geese, not cut in pieces", , , ,40, , , ,,84,-16,0,11, ,"7,636", , , ,0, , ,
20753,"Fatty livers of domestic geese, fresh or chilled", , , ,15, , , ,,13, ,0,1, ,"13,000",1, ,0, , , ,
20755,Frozen cuts and edible offal of domestic geese, , , ,15, , , ,,4,-56,0,0, , , , , ,36, ,"1,861",
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .", , , ,8, , , ,,251,-32,0,75,Tons,"3,347",92,15,0,41,Tons,"12,902",
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, . . .", , , ,10, , , ,,"19,932",29,3,"14,991",Tons,"1,330", , , ,17,Tons,882,
20990,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, . . .", , , , , , , ,,64,-61,0,50, ,"1,280", , , , , , ,
21011,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in", , , ,10, , , ,,947,26,0,161, ,"5,882", , , ,40, ,"12,150",
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked", , , ,10, , , ,,54,-17,0,7, ,"7,714",8, ,0,289, ,"4,920",
21019,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with . . .", , , ,10, , , ,,"1,353",-6,0,86, ,"15,733", , , ,341, ,"9,284",
21020,"Meat of bovine animals, salted, in brine, dried or smoked", , , ,15, , , ,,"3,907",43,1,578,Tons,"6,760","8,338",205,3,158,Tons,"12,500",1
21091,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , , , , , , ,,"1,169", ,25,385, ,"3,036", , , , , , ,
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , , ,20, , , ,,"3,473",6,0,792,Tons,"4,385",117,-15,0,388,Tons,"2,804",
30111,Live ornamental freshwater fish, , , ,19, , , ,,"7,201",43,3,0,No quantity, ,15, ,0,0,No quantity, ,
30119,Live ornamental fish (excl. freshwater), , , ,19, , , ,,236,87,0,0,No quantity, ,2,-42,0,0,No quantity, ,
30191,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , ,20, , , ,,"1,044",-7,1,103, ,"10,136", , , ,0, , ,
30192,"Live eels ""Anguilla spp.""", , , ,20, , , ,,"34,323",31,4,"2,715",Tons,"12,642", , , ,0,Tons, ,
30193,"Live carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .", , , , , , , ,,"5,701",8,5,"1,216",Tons,"4,688", , , , ,Tons, ,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,13, , , ,,"40,884",22,4,"8,887",No quantity,"4,600",9, ,0,0,No quantity, ,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , ,10, , , ,,"5,489",47,1,546, ,"10,053",2,94,0,163, ,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .", , , ,10, , , ,,313,114,0,21,Tons,"14,905",15,-25,0,1,Tons,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , ,10, , , ,,"71,471",11,0,"7,120",Tons,"10,038",51,8,0,"7,261",Tons,"8,951",
